Archive:  /home/runner/work/mltd-relive/mltd-relive/input/mltd-relive-game-client-zh-fixed.apk
 Length   Method    Size  Cmpr    Date    Time   CRC-32   Name
    1605  Defl:N      567  65% 2024-01-15 19:16 2e178a0b  assets/bin/Data/Managed/etc/mono/4.0/Browsers/Compat.browser
   60575  Defl:N    14267  76% 2024-01-15 19:16 95f9d0b4  assets/bin/Data/Managed/etc/mono/4.0/DefaultWsdlHelpGenerator.aspx
   33648  Defl:N     4479  87% 2024-01-15 19:16 c2f58754  assets/bin/Data/Managed/etc/mono/4.0/machine.config
    2622  Defl:N      651  75% 2024-01-15 19:16 dc24a240  assets/bin/Data/Managed/etc/mono/4.0/settings.map
   18848  Defl:N     2813  85% 2024-01-15 19:16 46dcac4d  assets/bin/Data/Managed/etc/mono/4.0/web.config
    1605  Defl:N      567  65% 2024-01-15 19:16 2e178a0b  assets/bin/Data/Managed/etc/mono/4.5/Browsers/Compat.browser
   60575  Defl:N    14267  76% 2024-01-15 19:16 95f9d0b4  assets/bin/Data/Managed/etc/mono/4.5/DefaultWsdlHelpGenerator.aspx
   34106  Defl:N     4543  87% 2024-01-15 19:16 e7e2f2d3  assets/bin/Data/Managed/etc/mono/4.5/machine.config
    2622  Defl:N      651  75% 2024-01-15 19:16 dc24a240  assets/bin/Data/Managed/etc/mono/4.5/settings.map
   18857  Defl:N     2814  85% 2024-01-15 19:16 c3df527d  assets/bin/Data/Managed/etc/mono/4.5/web.config
  311984  Defl:N    35859  89% 2024-01-15 19:16 ce6c0ab3  assets/bin/Data/Managed/etc/mono/browscap.ini
    3276  Defl:N      608  81% 2024-01-15 19:16 b5c7d62e  assets/bin/Data/Managed/etc/mono/config
   25817  Defl:N     3152  88% 2024-01-15 19:16 80b2033a  assets/bin/Data/Managed/etc/mono/mconfig/config.xml
       3  Stored        3   0% 2024-01-15 19:16 e95ce20d  assets/bin/Data/Managed/etc/mono/registry/last-btime
21159696  Defl:N  5892486  72% 2024-01-15 19:16 782c9eed  assets/bin/Data/Managed/Metadata/global-metadata.dat
  115581  Defl:N    55149  52% 2024-01-15 19:16 4869f9ef  assets/bin/Data/Managed/Resources/Firebase.Platform.dll-resources.dat
  337563  Defl:N   126076  63% 2024-01-15 19:16 d475b854  assets/bin/Data/Managed/Resources/mscorlib.dll-resources.dat
 3608452  Defl:N   250074  93% 2024-01-15 19:16 34db1d7f  assets/bin/Data/unity default resources
    1350  Stored     1350   0% 2024-01-15 19:16 cc365b6d  assets/google-services-desktop.json
      70  Stored       70   0% 2024-01-15 19:16 c256b4f9  assets/license_BNEI0310.sig
      71  Stored       71   0% 2024-01-15 19:16 8131d865  assets/license_theaterdays.sig
  112264  Stored   112264   0% 2024-01-15 19:16 16bcceb9  assets/SE/air_tap_v01_t02.wav
  199512  Stored   199512   0% 2024-01-15 19:16 b562aa49  assets/SE/app_flick_v01_t04.wav
  205924  Stored   205924   0% 2024-01-15 19:16 34a21558  assets/SE/app_flick_v02_t03.wav
  199588  Stored   199588   0% 2024-01-15 19:16 d35c48d5  assets/SE/app_flick_v03_t03.wav
  293708  Stored   293708   0% 2024-01-15 19:16 36db868b  assets/SE/app_flick_v04_t04.wav
   86048  Stored    86048   0% 2024-01-15 19:16 ae074168  assets/SE/RHY_TAP_010.wav
  131376  Stored   131376   0% 2024-01-15 19:16 42cb3706  assets/SE/rhy_tap_v01_t03.wav
  191952  Stored   191952   0% 2024-01-15 19:16 cb5dabde  assets/SE/rhy_tap_v02_t03.wav
  169816  Stored   169816   0% 2024-01-15 19:16 0d092dd6  assets/SE/rhy_tap_v03_t03.wav
  194616  Stored   194616   0% 2024-01-15 19:16 13114e6e  assets/SE/rhy_tap_v04_t04.wav
     298  Defl:N      202  32% 2024-01-15 19:16 d06bf802  assets/Shader/MeshFragShader.fsh
     675  Defl:N      291  57% 2024-01-15 19:16 6f42165d  assets/Shader/MeshVertShader.vsh
      74  Defl:N       50  32% 2024-01-15 19:16 2d6dd5f6  firebase-analytics.properties
      68  Defl:N       47  31% 2024-01-15 19:16 f0652aec  firebase-common.properties
      78  Defl:N       52  33% 2024-01-15 19:16 10ce3cb6  firebase-iid-interop.properties
      62  Defl:N       44  29% 2024-01-15 19:16 1c74f653  firebase-iid.properties
      98  Defl:N       61  38% 2024-01-15 19:16 f6a91592  firebase-measurement-connector.properties
      74  Defl:N       50  32% 2024-01-15 19:16 f5b9ef33  firebase-messaging.properties
      94  Defl:N       59  37% 2024-01-15 19:16 0ff7a922  play-services-ads-identifier.properties
      94  Defl:N       60  36% 2024-01-15 19:16 2b04e663  play-services-auth-api-phone.properties
      84  Defl:N       55  35% 2024-01-15 19:16 1fb71a61  play-services-auth-base.properties
      74  Defl:N       50  32% 2024-01-15 19:16 4005299c  play-services-auth.properties
      74  Defl:N       50  32% 2024-01-15 19:16 50962b67  play-services-base.properties
      82  Defl:N       53  35% 2024-01-15 19:16 185cd558  play-services-basement.properties
      76  Defl:N       51  33% 2024-01-15 19:16 4c76a846  play-services-drive.properties
      76  Defl:N       51  33% 2024-01-15 19:16 6efe2504  play-services-games.properties
      96  Defl:N       60  38% 2024-01-15 19:16 4b65a25a  play-services-measurement-api.properties
      98  Defl:N       61  38% 2024-01-15 19:16 8e3ed19f  play-services-measurement-base.properties
      98  Defl:N       61  38% 2024-01-15 19:16 38c82285  play-services-measurement-impl.properties
     104  Defl:N       64  39% 2024-01-15 19:16 a8b745aa  play-services-measurement-sdk-api.properties
      96  Defl:N       60  38% 2024-01-15 19:16 3557a30c  play-services-measurement-sdk.properties
      88  Defl:N       56  36% 2024-01-15 19:16 f958809d  play-services-measurement.properties
      78  Defl:N       52  33% 2024-01-15 19:16 d3406b9a  play-services-nearby.properties
      76  Defl:N       51  33% 2024-01-15 19:16 d70278f8  play-services-stats.properties
      76  Defl:N       51  33% 2024-01-15 19:16 78071c11  play-services-tasks.properties
   23806  Defl:N     8779  63% 2024-01-15 19:16 c4bee7c6  META-INF/BNDLTOOL.SF
    1134  Defl:N      702  38% 2024-01-15 19:16 7b767f50  META-INF/BNDLTOOL.RSA
   23679  Defl:N     8305  65% 2024-01-15 19:16 ad500d63  META-INF/MANIFEST.MF
--------          -------  ---                            -------
208568553         96208110  54%                            205 files
